Symbol	Motif	col	Target	Shape
SOCS1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SP100	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
RPS6KB2	GAS	#ffadad	STAT1+STAT2+IRF9+IRF1	diamond
SP140L	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SCN9A	GAS	#caffbf	STAT1 + STAT2	diamond
SDSL	GAS	#9bf6ff	STAT1	diamond
STAT1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SEPHS2	GAS	#caffbf	STAT1 + STAT2	diamond
STAT2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SERPINB1	GAS	#caffbf	STAT1 + STAT2	diamond
TAP1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SERPING1	GAS	#ffd6a5	STAT1 + STAT2 + IRF9	diamond
TAP2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SHC2	GAS	#9bf6ff	STAT1	diamond
TAPBP	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SKI	GAS	#9bf6ff	STAT1	diamond
TAPBPL	ISRE	#fdffb6	IRF1	ellipse
SLC25A18	GAS	#caffbf	STAT1 + STAT2	diamond
SLC7A2	GAS	#caffbf	STAT1 + STAT2	diamond
TMEM140	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SMPD1	GAS	#9bf6ff	STAT1	diamond
TRIM14	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SOCS3	GAS	#caffbf	STAT1 + STAT2	diamond
TRIM26	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
SSBP4	GAS	#caffbf	STAT1 + STAT2	diamond
TRIM44	ISRE	#c994c7	STAT2 + IRF1	ellipse
STAT3	GAS	#caffbf	STAT1 + STAT2	diamond
USF1	ISRE	#fdffb6	IRF1	ellipse
XAF1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
ZC3H7B	ISRE	#fdffb6	IRF1	ellipse
TCIRG1	GAS	#caffbf	STAT1 + STAT2	diamond
ZFYVE26	ISRE	#fdffb6	IRF1	ellipse
TNFAIP1	GAS	#caffbf	STAT1 + STAT2	diamond
TOP1	GAS	#caffbf	STAT1 + STAT2	diamond
UBE2D1	GAS	#9bf6ff	STAT1	diamond
WSB1	GAS	#9bf6ff	STAT1	diamond
YPEL2	GAS	#caffbf	STAT1 + STAT2	diamond
ZNF24	GAS	#9bf6ff	STAT1	diamond
